City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Alfred,-33.59,26.89,63.0,82,41,4.0,ZA,1592321375
Torbay,47.67,-52.73,66.99,55,20,11.41,CA,1592321375
Srednekolymsk,67.45,153.68,70.03,43,65,6.82,RU,1592321380
Kavaratti,10.57,72.64,84.81,78,100,18.66,IN,1592321456
Barrow,71.29,-156.79,35.6,80,75,12.75,US,1592321194
Lavrentiya,65.58,-171.0,47.46,66,0,1.41,RU,1592321392
Yakovlevka,44.42,133.48,56.41,82,66,4.41,RU,1592321456
Rikitea,-23.12,-134.97,74.84,82,3,10.42,PF,1592321359
Lebu,-37.62,-73.65,53.69,88,100,15.5,CL,1592321387
Ushuaia,-54.8,-68.3,35.6,83,75,1.68,AR,1592321112
Kieta,-6.22,155.63,77.18,84,100,2.3,PG,1592321414
Acapulco de Juárez,16.86,-99.89,86.0,66,40,3.53,MX,1592321457
Saint-Philippe,-21.36,55.77,69.8,64,90,12.75,RE,1592321393
Qaanaaq,77.48,-69.36,39.49,73,51,4.47,GL,1592321380
Colares,38.8,-9.45,75.99,64,40,13.87,PT,1592321457
Atuona,-9.8,-139.03,80.24,75,1,13.96,PF,1592321374
Ostrovnoy,68.05,39.51,44.15,65,98,18.52,RU,1592321412
Cabimas,10.39,-71.44,86.77,67,39,4.14,VE,1592321457
Bluff,-46.6,168.33,55.27,74,97,14.38,NZ,1592321382
Batagay-Alyta,67.8,130.41,54.14,72,65,4.36,RU,1592321457
Cascavel,-24.96,-53.46,68.32,77,0,12.46,BR,1592321288
Bredasdorp,-34.53,20.04,62.6,77,0,5.14,ZA,1592321383
Punta Arenas,-53.15,-70.92,35.6,75,20,6.93,CL,1592321341
Ribeira Grande,38.52,-28.7,71.6,53,20,13.87,PT,1592321385
Albany,42.6,-73.97,73.99,36,0,3.96,US,1592321359
Faanui,-16.48,-151.75,79.2,84,72,12.71,PF,1592321411
Sri Aman,1.24,111.46,77.0,94,92,0.96,MY,1592321458
Trairi,-3.28,-39.27,86.32,63,7,11.68,BR,1592321459
Tiksi,71.69,128.87,53.01,55,3,10.71,RU,1592321382
Petrolina,-9.4,-40.5,82.4,58,75,14.99,BR,1592321407
New Norfolk,-42.78,147.06,42.01,85,12,1.01,AU,1592321384
Diplo,24.47,69.58,86.92,74,99,21.07,PK,1592321459
Muros,42.78,-9.06,64.0,76,14,15.99,ES,1592321459
Thompson,55.74,-97.86,68.0,49,40,13.87,CA,1592321315
Souillac,-20.52,57.52,71.6,73,75,12.75,MU,1592321376
Cherskiy,68.75,161.3,65.43,44,34,7.58,RU,1592321398
Woodward,36.43,-99.39,88.0,48,1,17.22,US,1592321460
Tougan,13.07,-3.07,107.44,15,24,8.66,BF,1592321460
San Patricio,19.22,-104.7,84.2,74,20,3.89,MX,1592321401
Coquimbo,-29.95,-71.34,57.2,67,40,1.12,CL,1592321213
Yellowknife,62.46,-114.35,50.0,76,75,16.11,CA,1592321384
Sitka,57.05,-135.33,51.8,87,90,3.36,US,1592321393
Kiryat Gat,31.61,34.76,82.0,55,0,1.99,IL,1592321460
Waipawa,-41.41,175.52,54.0,79,10,1.99,NZ,1592321460
Jamestown,42.1,-79.24,68.0,52,1,1.43,US,1592321151
Mataura,-46.19,168.86,47.08,83,89,5.3,NZ,1592321389
Richmond Hill,43.87,-79.44,69.8,37,20,9.17,CA,1592321182
Leh,34.17,77.58,58.14,32,3,4.81,IN,1592321461
Tasiilaq,65.61,-37.64,35.6,93,75,20.8,GL,1592321394
Carnarvon,-24.87,113.63,59.0,38,0,6.93,AU,1592321097
Nipawin,53.37,-104.0,64.4,52,90,8.05,CA,1592321461
Palmer,42.16,-72.33,77.0,38,40,5.82,US,1592321295
Pucallpa,-8.38,-74.55,80.6,74,75,2.24,PE,1592321269
Channel-Port aux Basques,47.57,-59.14,52.81,64,45,11.05,CA,1592321462
Nikolskoye,59.7,30.79,80.01,88,75,4.47,RU,1592321379
Bull Savanna,17.89,-77.59,83.95,69,90,15.23,JM,1592321462
Makakilo City,21.35,-158.09,73.4,83,40,6.93,US,1592321379
Ayan,56.45,138.17,44.02,86,95,8.77,RU,1592321377
Rājaldesar,28.03,74.47,102.49,8,0,8.7,IN,1592321462
Taltal,-25.4,-70.48,62.51,65,100,4.41,CL,1592321408
Mount Gambier,-37.83,140.77,44.6,100,97,5.82,AU,1592321385
Hobart,-42.88,147.33,43.0,70,75,10.29,AU,1592321150
Tambopata,-12.73,-69.18,78.8,74,20,2.24,PE,1592321462
Mahajanga,-15.72,46.32,78.8,65,40,4.7,MG,1592321463
Dikson,73.51,80.55,31.96,99,100,14.05,RU,1592321387
Creston,41.06,-94.36,75.2,69,1,12.75,US,1592321463
Broken Hill,-31.95,141.43,50.0,71,0,4.7,AU,1592321395
College,64.86,-147.8,57.99,87,75,2.1,US,1592321463
Lydenburg,-25.1,30.46,57.99,75,60,8.99,ZA,1592321463
Puerto Nariño,-3.77,-70.38,80.6,83,75,6.93,CO,1592321463
Bengkulu,-3.8,102.27,79.25,86,100,5.39,ID,1592321400
Vaini,-21.2,-175.2,69.8,68,20,8.05,TO,1592321379
Katsuura,35.13,140.3,73.4,73,0,18.34,JP,1592321387
Lüderitz,-26.65,15.16,89.6,6,0,9.17,NA,1592321464
Ribeira Brava,32.65,-17.07,71.6,88,40,8.05,PT,1592321464
Khani,41.96,42.96,80.6,61,40,12.75,GE,1592321464
Malanje,-9.54,16.34,84.2,45,40,11.41,AO,1592321464
Henties Bay,-22.12,14.28,74.48,34,0,11.59,NA,1592321464
Saint-Joseph,-21.37,55.62,69.8,64,90,12.75,RE,1592321465
Bubaque,11.28,-15.83,81.5,80,39,11.59,GW,1592321465
East London,-33.02,27.91,62.6,72,20,9.17,ZA,1592321383
Puerto Ayora,-0.74,-90.35,77.0,69,40,21.92,EC,1592321395
Antipino,57.11,65.76,75.2,44,10,2.24,RU,1592321465
Gomel,52.43,30.98,82.4,45,0,15.66,BY,1592321465
Marsaxlokk,35.84,14.54,77.0,53,41,24.16,MT,1592321465
Jumla,29.27,82.18,63.1,72,49,1.61,NP,1592321465
